Product,BU,Month,raw_data,Backlog
               ITEM_4-000-0550,D100,9/1/2025,72,0.734969811
               ITEM_4-000-0550,D100,8/1/2025,51,0.25630236
               ITEM_4-000-0550,D100,7/1/2025,74,0.780557188
               ITEM_4-000-0550,D100,6/1/2025,102,1.418780456
               ITEM_4-000-0550,D100,5/1/2025,69,0.666588747
               ITEM_4-000-0550,D100,4/1/2025,14,-0.587064101
               ITEM_4-000-0550,D100,3/1/2025,53,0.301889736
               ITEM_4-000-0550,D100,2/1/2025,45,0.119540231
               ITEM_4-000-0550,D100,1/1/2025,105,1.48716152
               ITEM_4-000-0550,D100,12/1/2024,90,1.145256198
               ITEM_4-000-0550,D100,11/1/2024,116,1.73789209
               ITEM_4-000-0550,D100,10/1/2024,77,0.848938252
               ITEM_4-000-0550,D100,9/1/2024,114,1.692304714
               ITEM_4-000-0550,D100,8/1/2024,69,0.666588747
               ITEM_4-000-0550,D100,7/1/2024,37,-0.062809274
               ITEM_4-000-0550,D100,6/1/2024,44,0.096746543
               ITEM_4-000-0550,D100,5/1/2024,100,1.373193079
               ITEM_4-000-0550,D100,4/1/2024,108,1.555542585
               ITEM_4-000-0550,D100,3/1/2024,159,2.71802068
               ITEM_4-000-0550,D100,2/1/2024,70,0.689382435
               ITEM_4-000-0550,D100,1/1/2024,39,-0.017221898
               ITEM_4-000-0550,D100,12/1/2023,57,0.393064489
               ITEM_4-000-0550,D100,11/1/2023,54,0.324683425
               ITEM_4-000-0550,D100,10/1/2023,56,0.370270801
               ITEM_4-000-0550,D100,9/1/2023,10,-0.678238854
               ITEM_4-000-0550,D100,8/1/2023,4,-0.815000983
               ITEM_4-000-0550,D100,7/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,6/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,5/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,4/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,3/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,2/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,1/1/2023,0,-0.906175736
               ITEM_4-000-0550,D100,12/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,11/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,10/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,9/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,8/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,7/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,6/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,5/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,4/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,3/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,2/1/2022,0,-0.906175736
               ITEM_4-000-0550,D100,1/1/2022,0,-0.906175736
          ITEM_4-000-0080,D100,9/1/2025,257,0.351961197
          ITEM_4-000-0080,D100,8/1/2025,343,0.825402223
          ITEM_4-000-0080,D100,7/1/2025,274,0.445548377
          ITEM_4-000-0080,D100,6/1/2025,192,-0.005872137
          ITEM_4-000-0080,D100,5/1/2025,344,0.830907352
          ITEM_4-000-0080,D100,4/1/2025,424,1.271317609
          ITEM_4-000-0080,D100,3/1/2025,334,0.77585607
          ITEM_4-000-0080,D100,2/1/2025,366,0.952020172
          ITEM_4-000-0080,D100,1/1/2025,261,0.37398171
          ITEM_4-000-0080,D100,12/1/2024,746,3.043968893
          ITEM_4-000-0080,D100,11/1/2024,325,0.726309916
          ITEM_4-000-0080,D100,10/1/2024,113,-0.440777266
          ITEM_4-000-0080,D100,9/1/2024,198,0.027158633
          ITEM_4-000-0080,D100,8/1/2024,355,0.891463762
          ITEM_4-000-0080,D100,7/1/2024,319,0.693279146
          ITEM_4-000-0080,D100,6/1/2024,235,0.230848376
          ITEM_4-000-0080,D100,5/1/2024,272,0.43453812
          ITEM_4-000-0080,D100,4/1/2024,231,0.208827864
          ITEM_4-000-0080,D100,3/1/2024,266,0.401507351
          ITEM_4-000-0080,D100,2/1/2024,320,0.698784275
          ITEM_4-000-0080,D100,1/1/2024,423,1.265812481
          ITEM_4-000-0080,D100,12/1/2023,419,1.243791968
          ITEM_4-000-0080,D100,11/1/2023,342,0.819897095
          ITEM_4-000-0080,D100,10/1/2023,273,0.440043249
          ITEM_4-000-0080,D100,9/1/2023,227,0.186807351
          ITEM_4-000-0080,D100,8/1/2023,421,1.254802224
          ITEM_4-000-0080,D100,7/1/2023,386,1.062122737
          ITEM_4-000-0080,D100,6/1/2023,21,-0.947249061
          ITEM_4-000-0080,D100,5/1/2023,1,-1.057351626
          ITEM_4-000-0080,D100,4/1/2023,0,-1.062856754
          ITEM_4-000-0080,D100,3/1/2023,0,-1.062856754
          ITEM_4-000-0080,D100,2/1/2023,0,-1.062856754
          ITEM_4-000-0080,D100,1/1/2023,0,-1.062856754
          ITEM_4-000-0080,D100,12/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,11/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,10/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,9/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,8/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,7/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,6/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,5/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,4/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,3/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,2/1/2022,0,-1.062856754
          ITEM_4-000-0080,D100,1/1/2022,0,-1.062856754
          ITEM_CMDT-45,D300,9/1/2025,2,1.535063228
          ITEM_CMDT-45,D300,8/1/2025,1,0.402639535
          ITEM_CMDT-45,D300,7/1/2025,2,1.535063228
          ITEM_CMDT-45,D300,6/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,5/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,4/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,3/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,2/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,1/1/2025,0,-0.729784157
          ITEM_CMDT-45,D300,12/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,11/1/2024,1,0.402639535
          ITEM_CMDT-45,D300,10/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,9/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,8/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,7/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,6/1/2024,1,0.402639535
          ITEM_CMDT-45,D300,5/1/2024,2,1.535063228
          ITEM_CMDT-45,D300,4/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,3/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,2/1/2024,0,-0.729784157
          ITEM_CMDT-45,D300,1/1/2024,2,1.535063228
          ITEM_CMDT-45,D300,12/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,11/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,10/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,9/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,8/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,7/1/2023,0,-0.729784157
          ITEM_CMDT-45,D300,6/1/2023,1,0.402639535
          ITEM_CMDT-45,D300,5/1/2023,1,0.402639535
          ITEM_CMDT-45,D300,4/1/2023,1,0.402639535
          ITEM_CMDT-45,D300,3/1/2023,2,1.535063228
          ITEM_CMDT-45,D300,2/1/2023,1,0.402639535
          ITEM_CMDT-45,D300,1/1/2023,1,0.402639535
          ITEM_CMDT-45,D300,12/1/2022,3,2.66748692
          ITEM_CMDT-45,D300,11/1/2022,1,0.402639535
          ITEM_CMDT-45,D300,10/1/2022,0,-0.729784157
          ITEM_CMDT-45,D300,9/1/2022,2,1.535063228
          ITEM_CMDT-45,D300,8/1/2022,1,0.402639535
          ITEM_CMDT-45,D300,7/1/2022,0,-0.729784157
          ITEM_CMDT-45,D300,6/1/2022,0,-0.729784157
          ITEM_CMDT-45,D300,5/1/2022,1,0.402639535
          ITEM_CMDT-45,D300,4/1/2022,3,2.66748692
          ITEM_CMDT-45,D300,3/1/2022,0,-0.729784157
          ITEM_CMDT-45,D300,2/1/2022,0,-0.729784157
          ITEM_CMDT-45,D300,1/1/2022,0,-0.729784157
          ITEM_CMDT-60,D300,9/1/2025,5,0.790703155
          ITEM_CMDT-60,D300,8/1/2025,1,-1.132628844
          ITEM_CMDT-60,D300,7/1/2025,4,0.309870155
          ITEM_CMDT-60,D300,6/1/2025,3,-0.170962844
          ITEM_CMDT-60,D300,5/1/2025,3,-0.170962844
          ITEM_CMDT-60,D300,4/1/2025,7,1.752369155
          ITEM_CMDT-60,D300,3/1/2025,0,-1.613461844
          ITEM_CMDT-60,D300,2/1/2025,2,-0.651795844
          ITEM_CMDT-60,D300,1/1/2025,4,0.309870155
          ITEM_CMDT-60,D300,12/1/2024,5,0.790703155
          ITEM_CMDT-60,D300,11/1/2024,1,-1.132628844
          ITEM_CMDT-60,D300,10/1/2024,3,-0.170962844
          ITEM_CMDT-60,D300,9/1/2024,3,-0.170962844
          ITEM_CMDT-60,D300,8/1/2024,2,-0.651795844
          ITEM_CMDT-60,D300,7/1/2024,1,-1.132628844
          ITEM_CMDT-60,D300,6/1/2024,5,0.790703155
          ITEM_CMDT-60,D300,5/1/2024,5,0.790703155
          ITEM_CMDT-60,D300,4/1/2024,2,-0.651795844
          ITEM_CMDT-60,D300,3/1/2024,4,0.309870155
          ITEM_CMDT-60,D300,2/1/2024,4,0.309870155
          ITEM_CMDT-60,D300,1/1/2024,5,0.790703155
          ITEM_CMDT-60,D300,12/1/2023,4,0.309870155
          ITEM_CMDT-60,D300,11/1/2023,3,-0.170962844
          ITEM_CMDT-60,D300,10/1/2023,5,0.790703155
          ITEM_CMDT-60,D300,9/1/2023,6,1.271536155
          ITEM_CMDT-60,D300,8/1/2023,6,1.271536155
          ITEM_CMDT-60,D300,7/1/2023,5,0.790703155
          ITEM_CMDT-60,D300,6/1/2023,2,-0.651795844
          ITEM_CMDT-60,D300,5/1/2023,6,1.271536155
          ITEM_CMDT-60,D300,4/1/2023,2,-0.651795844
          ITEM_CMDT-60,D300,3/1/2023,4,0.309870155
          ITEM_CMDT-60,D300,2/1/2023,1,-1.132628844
          ITEM_CMDT-60,D300,1/1/2023,1,-1.132628844
          ITEM_CMDT-60,D300,12/1/2022,11,3.675701154
          ITEM_CMDT-60,D300,11/1/2022,2,-0.651795844
          ITEM_CMDT-60,D300,10/1/2022,1,-1.132628844
          ITEM_CMDT-60,D300,9/1/2022,2,-0.651795844
          ITEM_CMDT-60,D300,8/1/2022,4,0.309870155
          ITEM_CMDT-60,D300,7/1/2022,1,-1.132628844
          ITEM_CMDT-60,D300,6/1/2022,2,-0.651795844
          ITEM_CMDT-60,D300,5/1/2022,1,-1.132628844
          ITEM_CMDT-60,D300,4/1/2022,2,-0.651795844
          ITEM_CMDT-60,D300,3/1/2022,5,0.790703155
          ITEM_CMDT-60,D300,2/1/2022,3,-0.170962844
          ITEM_CMDT-60,D300,1/1/2022,3,-0.170962844
          ITEM_M11-040,D200,9/1/2025,281,-1.168480408
          ITEM_M11-040,D200,8/1/2025,251,-1.318513559
          ITEM_M11-040,D200,7/1/2025,346,-0.843408581
          ITEM_M11-040,D200,6/1/2025,262,-1.263501404
          ITEM_M11-040,D200,5/1/2025,394,-0.603355539
          ITEM_M11-040,D200,4/1/2025,371,-0.718380955
          ITEM_M11-040,D200,3/1/2025,373,-0.708378745
          ITEM_M11-040,D200,2/1/2025,475,-0.198266031
          ITEM_M11-040,D200,1/1/2025,282,-1.163479303
          ITEM_M11-040,D200,12/1/2024,503,-0.05823509
          ITEM_M11-040,D200,11/1/2024,548,0.166814637
          ITEM_M11-040,D200,10/1/2024,454,-0.303289237
          ITEM_M11-040,D200,9/1/2024,350,-0.823404161
          ITEM_M11-040,D200,8/1/2024,340,-0.873415211
          ITEM_M11-040,D200,7/1/2024,508,-0.033229565
          ITEM_M11-040,D200,6/1/2024,442,-0.363302497
          ITEM_M11-040,D200,5/1/2024,484,-0.153256085
          ITEM_M11-040,D200,4/1/2024,535,0.101800271
          ITEM_M11-040,D200,3/1/2024,466,-0.243275976
          ITEM_M11-040,D200,2/1/2024,473,-0.208268241
          ITEM_M11-040,D200,1/1/2024,603,0.441875414
          ITEM_M11-040,D200,12/1/2023,580,0.326849998
          ITEM_M11-040,D200,11/1/2023,469,-0.228272661
          ITEM_M11-040,D200,10/1/2023,473,-0.208268241
          ITEM_M11-040,D200,9/1/2023,548,0.166814637
          ITEM_M11-040,D200,8/1/2023,552,0.186819057
          ITEM_M11-040,D200,7/1/2023,448,-0.333295867
          ITEM_M11-040,D200,6/1/2023,519,0.021782591
          ITEM_M11-040,D200,5/1/2023,471,-0.218270451
          ITEM_M11-040,D200,4/1/2023,365,-0.748387585
          ITEM_M11-040,D200,3/1/2023,314,-1.003443942
          ITEM_M11-040,D200,2/1/2023,208,-1.533561076
          ITEM_M11-040,D200,1/1/2023,496,-0.093242825
          ITEM_M11-040,D200,12/1/2022,1302,3.937647836
          ITEM_M11-040,D200,11/1/2022,609,0.471882044
          ITEM_M11-040,D200,10/1/2022,594,0.396865469
          ITEM_M11-040,D200,9/1/2022,805,1.452098632
          ITEM_M11-040,D200,8/1/2022,991,2.382304169
          ITEM_M11-040,D200,7/1/2022,831,1.582127363
          ITEM_M11-040,D200,6/1/2022,687,0.861968237
          ITEM_M11-040,D200,5/1/2022,720,1.027004703
          ITEM_M11-040,D200,4/1/2022,544,0.146810217
          ITEM_M11-040,D200,3/1/2022,711,0.981994758
          ITEM_M11-040,D200,2/1/2022,529,0.071793641
          ITEM_M11-040,D200,1/1/2022,652,0.686929561
          ITEM_M11-043,D300,9/1/2025,99,-0.203745788
          ITEM_M11-043,D300,8/1/2025,66,-0.708858467
          ITEM_M11-043,D300,7/1/2025,70,-0.647632688
          ITEM_M11-043,D300,6/1/2025,61,-0.785390691
          ITEM_M11-043,D300,5/1/2025,61,-0.785390691
          ITEM_M11-043,D300,4/1/2025,76,-0.555794019
          ITEM_M11-043,D300,3/1/2025,90,-0.341503791
          ITEM_M11-043,D300,2/1/2025,51,-0.938455139
          ITEM_M11-043,D300,1/1/2025,65,-0.724164912
          ITEM_M11-043,D300,12/1/2024,76,-0.555794019
          ITEM_M11-043,D300,11/1/2024,51,-0.938455139
          ITEM_M11-043,D300,10/1/2024,96,-0.249665122
          ITEM_M11-043,D300,9/1/2024,121,0.132995998
          ITEM_M11-043,D300,8/1/2024,50,-0.953761584
          ITEM_M11-043,D300,7/1/2024,96,-0.249665122
          ITEM_M11-043,D300,6/1/2024,59,-0.816003581
          ITEM_M11-043,D300,5/1/2024,139,0.408512005
          ITEM_M11-043,D300,4/1/2024,96,-0.249665122
          ITEM_M11-043,D300,3/1/2024,99,-0.203745788
          ITEM_M11-043,D300,2/1/2024,53,-0.90784225
          ITEM_M11-043,D300,1/1/2024,87,-0.387423126
          ITEM_M11-043,D300,12/1/2023,90,-0.341503791
          ITEM_M11-043,D300,11/1/2023,98,-0.219052233
          ITEM_M11-043,D300,10/1/2023,151,0.592189343
          ITEM_M11-043,D300,9/1/2023,250,2.107527381
          ITEM_M11-043,D300,8/1/2023,202,1.372818029
          ITEM_M11-043,D300,7/1/2023,177,0.990156909
          ITEM_M11-043,D300,6/1/2023,110,-0.035374895
          ITEM_M11-043,D300,5/1/2023,142,0.45443134
          ITEM_M11-043,D300,4/1/2023,59,-0.816003581
          ITEM_M11-043,D300,3/1/2023,147,0.530963564
          ITEM_M11-043,D300,2/1/2023,99,-0.203745788
          ITEM_M11-043,D300,1/1/2023,58,-0.831310026
          ITEM_M11-043,D300,12/1/2022,116,0.056463774
          ITEM_M11-043,D300,11/1/2022,185,1.112608467
          ITEM_M11-043,D300,10/1/2022,145,0.500350674
          ITEM_M11-043,D300,9/1/2022,399,4.38818766
          ITEM_M11-043,D300,8/1/2022,178,1.005463353
          ITEM_M11-043,D300,7/1/2022,135,0.347286226
          ITEM_M11-043,D300,6/1/2022,83,-0.448648905
          ITEM_M11-043,D300,5/1/2022,82,-0.46395535
          ITEM_M11-043,D300,4/1/2022,126,0.209528223
          ITEM_M11-043,D300,3/1/2022,221,1.663640481
          ITEM_M11-043,D300,2/1/2022,87,-0.387423126
          ITEM_M11-043,D300,1/1/2022,52,-0.923148695
          ITEM_M11-050,D200,9/1/2025,229,1.90869223
          ITEM_M11-050,D200,8/1/2025,225,1.864102405
          ITEM_M11-050,D200,7/1/2025,221,1.81951258
          ITEM_M11-050,D200,6/1/2025,194,1.518531261
          ITEM_M11-050,D200,5/1/2025,207,1.663448192
          ITEM_M11-050,D200,4/1/2025,180,1.362466874
          ITEM_M11-050,D200,3/1/2025,261,2.26541083
          ITEM_M11-050,D200,2/1/2025,172,1.273287224
          ITEM_M11-050,D200,1/1/2025,155,1.083780468
          ITEM_M11-050,D200,12/1/2024,147,0.994600818
          ITEM_M11-050,D200,11/1/2024,10,-0.532600687
          ITEM_M11-050,D200,10/1/2024,78,0.225426337
          ITEM_M11-050,D200,9/1/2024,196,1.540826174
          ITEM_M11-050,D200,8/1/2024,204,1.630005824
          ITEM_M11-050,D200,7/1/2024,99,0.459522918
          ITEM_M11-050,D200,6/1/2024,1,-0.632927793
          ITEM_M11-050,D200,5/1/2024,9,-0.543748143
          ITEM_M11-050,D200,4/1/2024,2,-0.621780337
          ITEM_M11-050,D200,3/1/2024,0,-0.64407525
          ITEM_M11-050,D200,2/1/2024,0,-0.64407525
          ITEM_M11-050,D200,1/1/2024,2,-0.621780337
          ITEM_M11-050,D200,12/1/2023,0,-0.64407525
          ITEM_M11-050,D200,11/1/2023,0,-0.64407525
          ITEM_M11-050,D200,10/1/2023,0,-0.64407525
          ITEM_M11-050,D200,9/1/2023,0,-0.64407525
          ITEM_M11-050,D200,8/1/2023,0,-0.64407525
          ITEM_M11-050,D200,7/1/2023,8,-0.5548956
          ITEM_M11-050,D200,6/1/2023,0,-0.64407525
          ITEM_M11-050,D200,5/1/2023,0,-0.64407525
          ITEM_M11-050,D200,4/1/2023,0,-0.64407525
          ITEM_M11-050,D200,3/1/2023,0,-0.64407525
          ITEM_M11-050,D200,2/1/2023,0,-0.64407525
          ITEM_M11-050,D200,1/1/2023,0,-0.64407525
          ITEM_M11-050,D200,12/1/2022,0,-0.64407525
          ITEM_M11-050,D200,11/1/2022,0,-0.64407525
          ITEM_M11-050,D200,10/1/2022,0,-0.64407525
          ITEM_M11-050,D200,9/1/2022,0,-0.64407525
          ITEM_M11-050,D200,8/1/2022,0,-0.64407525
          ITEM_M11-050,D200,7/1/2022,0,-0.64407525
          ITEM_M11-050,D200,6/1/2022,0,-0.64407525
          ITEM_M11-050,D200,5/1/2022,0,-0.64407525
          ITEM_M11-050,D200,4/1/2022,0,-0.64407525
          ITEM_M11-050,D200,3/1/2022,0,-0.64407525
          ITEM_M11-050,D200,2/1/2022,0,-0.64407525
          ITEM_M11-050,D200,1/1/2022,0,-0.64407525
          ITEM_M11-053,D300,9/1/2025,101,2.819576811
          ITEM_M11-053,D300,8/1/2025,43,0.845040863
          ITEM_M11-053,D300,7/1/2025,46,0.947172033
